description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Blacksmith's Tool	1			100					2	Raven Myst	rpl						Raven Myst			100																																																																																				0
Blacksmith's Tool	1			100					2	Senmet's Boltcaster	rpl						Senmet's Boltcaster			100																																																																																				0
Blacksmith's Tool	1			100					2	Widow's Refrain	rpl						Widow's Refrain			100																																																																																				0
Blacksmith's Tool	1			100					2	Leafrazor	rpl						Leafrazor			100																																																																																				0
Blacksmith's Tool	1			100					2	Skyglow	rpl						Skyglow			100																																																																																				0
Blacksmith's Tool	1			100					2	Pridebreaker	rpl						Pridebreaker			100																																																																																				0
Blacksmith's Tool	1			100					2	Mind Creche	rpl						Mind Creche			100																																																																																				0
Blacksmith's Tool	1			100					2	Splinterfreeze	rpl						Splinterfreeze			100																																																																																				0
Blacksmith's Tool	1			100					2	Severalkill	rpl						Severalkill			100																																																																																				0
Blacksmith's Tool	1			100					2	Trump of Jericho	rpl						Trump of Jericho			100																																																																																				0
Blacksmith's Tool	1			100					2	Hatemonger	rpl						Hatemonger			100																																																																																				0
Blacksmith's Tool	1			100					2	Warbreeder	rpl						Warbreeder			100																																																																																				0
Blacksmith's Tool	1			100					2	Bowel Twister	rpl						Bowel Twister			100																																																																																				0
Blacksmith's Tool	1			100					2	Arc of the Rainbow	rpl						Arc of the Rainbow			100																																																																																				0
Blacksmith's Tool	1			100					2	Summerstrike	rpl						Summerstrike			100																																																																																				0
Blacksmith's Tool	1			100					2	Solstice Edge	rpl						Solstice Edge			100																																																																																				0
Blacksmith's Tool	1			100					2	Spleen Feaster	rpl						Spleen Feaster			100																																																																																				0
Blacksmith's Tool	1			100					2	Brainraver	rpl						Brainraver			100																																																																																				0
Blacksmith's Tool	1			100					2	Splinterbeam	rpl						Splinterbeam			100																																																																																				0
Blacksmith's Tool	1			100					2	Dead Scoffer	rpl						Dead Scoffer			100																																																																																				0
Blacksmith's Tool	1			100					2	Silt Runner	rpl						Silt Runner			100																																																																																				0
Blacksmith's Tool	1			100					2	Pain Harvester	rpl						Pain Harvester			100																																																																																				0
Blacksmith's Tool	1			100					2	Shard of the North Star	rpl						Shard of the North Star			100																																																																																				0
Blacksmith's Tool	1			100					2	Ashenwrath	rpl						Ashenwrath			100																																																																																				0
Blacksmith's Tool	1			100					2	JuJu Flame	rpl						JuJu Flame			100																																																																																				0
Blacksmith's Tool	1			100					2	Stinkshroud	rpl						Stinkshroud			100																																																																																				0
Blacksmith's Tool	1			100					2	Gemini Coat	rpl						Gemini Coat			100																																																																																				0
Blacksmith's Tool	1			100					2	Steelflesh	rpl						Steelflesh			100																																																																																				0
Blacksmith's Tool	1			100					2	Mandrake's Bloom	rpl						Mandrake's Bloom			100																																																																																				0
Blacksmith's Tool	1			100					2	Xanadu Dreams	rpl						Xanadu Dreams			100																																																																																				0
Blacksmith's Tool	1			100					2	Shattering Blow	rpl						Shattering Blow			100																																																																																				0
Blacksmith's Tool	1			100					2	Russetfire	rpl						Russetfire			100																																																																																				0
Blacksmith's Tool	1			100					2	Celestial Revelation	rpl						Celestial Revelation			100																																																																																				0
Blacksmith's Tool	1			100					2	Ion Storm	rpl						Ion Storm			100																																																																																				0
Blacksmith's Tool	1			100					2	Golem's Gain	rpl						Golem's Gain			100																																																																																				0
Blacksmith's Tool	1			100					2	Halcyon Shroud	rpl						Halcyon Shroud			100																																																																																				0
Blacksmith's Tool	1			100					2	Killing Blow	rpl						Killing Blow			100																																																																																				0
Blacksmith's Tool	1			100					2	Madness of Chthulu	rpl						Madness of Chthulu			100																																																																																				0
Blacksmith's Tool	1			100					2	Gillian's Brazier	rpl						Gillian's Brazier			100																																																																																				0
Blacksmith's Tool	1			100					2	Scavanger's Carapace	rpl						Scavanger's Carapace			100																																																																																				0
Blacksmith's Tool	1			100					2	The Defiler's Flesh	rpl						The Defiler's Flesh			100																																																																																				0
Blacksmith's Tool	1			100					2	Cold Comfort	rpl						Cold Comfort			100																																																																																				0
Blacksmith's Tool	1			100					2	Adamantine Mail	rpl						Adamantine Mail			100																																																																																				0
Blacksmith's Tool	1			100					2	Panic of Thousands	rpl						Panic of Thousands			100																																																																																				0
Blacksmith's Tool	1			100					2	Disparate Paths	rpl						Disparate Paths			100																																																																																				0
Blacksmith's Tool	1			100					2	Mother's Milk	rpl						Mother's Milk			100																																																																																				0
Blacksmith's Tool	1			100					2	Scars of the Forefathers	rpl						Scars of the Forefathers			100																																																																																				0
Blacksmith's Tool	1			100					2	Succulent Sin	rpl						Succulent Sin			100																																																																																				0
Blacksmith's Tool	1			100					2	Seaflame	rpl						Seaflame			100																																																																																				0
Blacksmith's Tool	1			100					2	Nightcrawler	rpl						Nightcrawler			100																																																																																				0
Blacksmith's Tool	1			100					2	Evening Sky	rpl						Evening Sky			100																																																																																				0
Blacksmith's Tool	1			100					2	Iceskin	rpl						Iceskin			100																																																																																				0
Blacksmith's Tool	1			100					2	Serendipity	rpl						Serendipity			100																																																																																				0
Blacksmith's Tool	1			100					2	Crescent of Secrets	rpl						Crescent of Secrets			100																																																																																				0
Blacksmith's Tool	1			100					2	Aprhodite's Girdle	rpl						Aprhodite's Girdle			100																																																																																				0
Blacksmith's Tool	1			100					2	Feathering Mithril	rpl						Feathering Mithril			100																																																																																				0
Blacksmith's Tool	1			100					2	Golden Lotus	rpl						Golden Lotus			100																																																																																				0
Blacksmith's Tool	1			100					2	Tarrasque Hide	rpl						Tarrasque Hide			100																																																																																				0
Blacksmith's Tool	1			100					2	Gray God's Mantle	rpl						Gray God's Mantle			100																																																																																				0
Blacksmith's Tool	1			100					2	Lunatic Fringe	rpl						Lunatic Fringe			100																																																																																				0
Blacksmith's Tool	1			100					2	Pride of the Barony	rpl						Pride of the Barony			100																																																																																				0
Blacksmith's Tool	1			100					2	Legacy of the Eternals	rpl						Legacy of the Eternals			100																																																																																				0
Blacksmith's Tool	1			100					2	Trickster's Guise	rpl						Trickster's Guise			100																																																																																				0
Blacksmith's Tool	1			100					2	Devourer of Dreams	rpl						Devourer of Dreams			100																																																																																				0
Blacksmith's Tool	1			100					2	Freedom's Facade	rpl						Freedom's Facade			100																																																																																				0
Blacksmith's Tool	1			100					2	Equinox Visor	rpl						Equinox Visor			100																																																																																				0
Blacksmith's Tool	1			100					2	Hindsight	rpl						Hindsight			100																																																																																				0
Blacksmith's Tool	1			100					2	Morning's Tears	rpl						Morning's Tears			100																																																																																				0
Blacksmith's Tool	1			100					2	Crown of Thorns	rpl						Crown of Thorns			100																																																																																				0
Blacksmith's Tool	1			100					2	Treachery's Allure	rpl						Treachery's Allure			100																																																																																				0
Blacksmith's Tool	1			100					2	Hushmaker	rpl						Hushmaker			100																																																																																				0
Blacksmith's Tool	1			100					2	Neonate's Sallet	rpl						Neonate's Sallet			100																																																																																				0
Blacksmith's Tool	1			100					2	Troubled Thoughts	rpl						Troubled Thoughts			100																																																																																				0
Blacksmith's Tool	1			100					2	Wraithwatch	rpl						Wraithwatch			100																																																																																				0
Blacksmith's Tool	1			100					2	Embracing Solitude	rpl						Embracing Solitude			100																																																																																				0
Blacksmith's Tool	1			100					2	Reign of Deceit	rpl						Reign of Deceit			100																																																																																				0
Blacksmith's Tool	1			100					2	Archnemesis	rpl						Archnemesis			100																																																																																				0
Blacksmith's Tool	1			100					2	Skull of Fistindantalas	rpl						Skull of Fistindantalas			100																																																																																				0
Blacksmith's Tool	1			100					2	Slaver's Price	rpl						Slaver's Price			100																																																																																				0
Blacksmith's Tool	1			100					2	Judas Kiss	rpl						Judas Kiss			100																																																																																				0
Blacksmith's Tool	1			100					2	Muddled Thoughts	rpl						Muddled Thoughts			100																																																																																				0
Blacksmith's Tool	1			100					2	Charon's Token	rpl						Charon's Token			100																																																																																				0
Blacksmith's Tool	1			100					2	Threatspeaker	rpl						Threatspeaker			100																																																																																				0
Blacksmith's Tool	1			100					2	Sorcerer's Cache	rpl						Sorcerer's Cache			100																																																																																				0
Blacksmith's Tool	1			100					2	Mystic Angel	rpl						Mystic Angel			100																																																																																				0
Blacksmith's Tool	1			100					2	Royal Circlet	rpl						Royal Circlet			100																																																																																				0
Blacksmith's Tool	1			100					2	Traitor's Mark	rpl						Traitor's Mark			100																																																																																				0
Blacksmith's Tool	1			100					2	Skein of Deceit	rpl						Skein of Deceit			100																																																																																				0
Blacksmith's Tool	1			100					2	Lepertouch	rpl						Lepertouch			100																																																																																				0
Blacksmith's Tool	1			100					2	Cacophony	rpl						Cacophony			100																																																																																				0
Blacksmith's Tool	1			100					2	Debtfinisher	rpl						Debtfinisher			100																																																																																				0
Blacksmith's Tool	1			100					2	Killhunger	rpl						Killhunger			100																																																																																				0
Blacksmith's Tool	1			100					2	Knight's Dawn	rpl						Knight's Dawn			100																																																																																				0
Blacksmith's Tool	1			100					2	Shield of Osirus	rpl						Shield of Osirus			100																																																																																				0
Blacksmith's Tool	1			100					2	Mongolian Trust	rpl						Mongolian Trust			100																																																																																				0
Blacksmith's Tool	1			100					2	Undead Buckler	rpl						Undead Buckler			100																																																																																				0
Blacksmith's Tool	1			100					2	Spellbreaker	rpl						Spellbreaker			100																																																																																				0
Blacksmith's Tool	1			100					2	Wishgranter	rpl						Wishgranter			100																																																																																				0
Blacksmith's Tool	1			100					2	Maiden's Shield	rpl						Maiden's Shield			100																																																																																				0
Blacksmith's Tool	1			100					2	Crusader's Wall	rpl						Crusader's Wall			100																																																																																				0
Blacksmith's Tool	1			100					2	Lichward	rpl						Lichward			100																																																																																				0
Blacksmith's Tool	1			100					2	Razorbite Deflecter	rpl						Razorbite Deflecter			100																																																																																				0
Blacksmith's Tool	1			100					2	Sun Tormenter	rpl						Sun Tormenter			100																																																																																				0
Blacksmith's Tool	1			100					2	Safewarden	rpl						Safewarden			100																																																																																				0
Blacksmith's Tool	1			100					2	Goblin Touch	rpl						Goblin Touch			100																																																																																				0
Blacksmith's Tool	1			100					2	Fiendfeast	rpl						Fiendfeast			100																																																																																				0
Blacksmith's Tool	1			100					2	Green God's Bracers	rpl						Green God's Bracers			100																																																																																				0
Blacksmith's Tool	1			100					2	Skein of Pain	rpl						Skein of Pain			100																																																																																				0
Blacksmith's Tool	1			100					2	Firesign	rpl						Firesign			100																																																																																				0
Blacksmith's Tool	1			100					2	Marauder's Claw	rpl						Marauder's Claw			100																																																																																				0
Blacksmith's Tool	1			100					2	Conspiracy of Thieves	rpl						Conspiracy of Thieves			100																																																																																				0
Blacksmith's Tool	1			100					2	Rapturous Blessings	rpl						Rapturous Blessings			100																																																																																				0
Blacksmith's Tool	1			100					2	Gryphon's Claw	rpl						Gryphon's Claw			100																																																																																				0
Blacksmith's Tool	1			100					2	Threat of Retribution	rpl						Threat of Retribution			100																																																																																				0
Blacksmith's Tool	1			100					2	Griefspawn	rpl						Griefspawn			100																																																																																				0
Blacksmith's Tool	1			100					2	Hellhunger	rpl						Hellhunger			100																																																																																				0
Blacksmith's Tool	1			100					2	Marathon Slipper	rpl						Marathon Slipper			100																																																																																				0
Blacksmith's Tool	1			100					2	Angel's Tread	rpl						Angel's Tread			100																																																																																				0
Blacksmith's Tool	1			100					2	Bonemesh	rpl						Bonemesh			100																																																																																				0
Blacksmith's Tool	1			100					2	Lilith's Heels	rpl						Lilith's Heels			100																																																																																				0
Blacksmith's Tool	1			100					2	Grimleaper	rpl						Grimleaper			100																																																																																				0
Blacksmith's Tool	1			100					2	Deepwander	rpl						Deepwander			100																																																																																				0
Blacksmith's Tool	1			100					2	Road to Perdition	rpl						Road to Perdition			100																																																																																				0
Blacksmith's Tool	1			100					2	Zebrastride	rpl						Zebrastride			100																																																																																				0
Blacksmith's Tool	1			100					2	Zero Effect	rpl						Zero Effect			100																																																																																				0
Blacksmith's Tool	1			100					2	Doubtraiser	rpl						Doubtraiser			100																																																																																				0
Blacksmith's Tool	1			100					2	Stallion Hooves	rpl						Stallion Hooves			100																																																																																				0
Blacksmith's Tool	1			100					2	Lustwander	rpl						Lustwander			100																																																																																				0
Blacksmith's Tool	1			100					2	Ivywrap	rpl						Ivywrap			100																																																																																				0
Blacksmith's Tool	1			100					2	Spiritseeker	rpl						Spiritseeker			100																																																																																				0
Blacksmith's Tool	1			100					2	Wreath of Suffering	rpl						Wreath of Suffering			100																																																																																				0
Blacksmith's Tool	1			100					2	Pirate's Faith	rpl						Pirate's Faith			100																																																																																				0
Blacksmith's Tool	1			100					2	Leash of Cerebus	rpl						Leash of Cerebus			100																																																																																				0
Blacksmith's Tool	1			100					2	Xenophobe	rpl						Xenophobe			100																																																																																				0
Blacksmith's Tool	1			100					2	Wave Whipper	rpl						Wave Whipper			100																																																																																				0
Blacksmith's Tool	1			100					2	Weakling's Whimper	rpl						Weakling's Whimper			100																																																																																				0
Blacksmith's Tool	1			100					2	Fortune's Fool	rpl						Fortune's Fool			100																																																																																				0
Blacksmith's Tool	1			100					2	Shattered Dreams	rpl						Shattered Dreams			100																																																																																				0
Blacksmith's Tool	1			100					2	Ecstasy of Ishtar	rpl						Ecstasy of Ishtar			100																																																																																				0
Blacksmith's Tool	1			100					2	Bleeding Branch	rpl						Bleeding Branch			100																																																																																				0
Blacksmith's Tool	1			100					2	Elvenbrand	rpl						Elvenbrand			100																																																																																				0
Blacksmith's Tool	1			100					2	Adamantine Leaf	rpl						Adamantine Leaf			100																																																																																				0
Blacksmith's Tool	1			100					2	Quicksilver	rpl						Quicksilver			100																																																																																				0
Blacksmith's Tool	1			100					2	Hastemaster	rpl						Hastemaster			100																																																																																				0
Blacksmith's Tool	1			100					2	Sister of the Sun	rpl						Sister of the Sun			100																																																																																				0
Blacksmith's Tool	1			100					2	Hawkfire	rpl						Hawkfire			100																																																																																				0
Blacksmith's Tool	1			100					2	Sepia Shard	rpl						Sepia Shard			100																																																																																				0
Blacksmith's Tool	1			100					2	Silverdawn	rpl						Silverdawn			100																																																																																				0
Blacksmith's Tool	1			100					2	Manticore's Retort	rpl						Manticore's Retort			100																																																																																				0
Blacksmith's Tool	1			100					2	Sparrow's Trill	rpl						Sparrow's Trill			100																																																																																				0
Blacksmith's Tool	1			100					2	Flicker Cinch	rpl						Flicker Cinch			100																																																																																				0
Blacksmith's Tool	1			100					2	Soul Stinger	rpl						Soul Stinger			100																																																																																				0
Blacksmith's Tool	1			100					2	Thought Splinter	rpl						Thought Splinter			100																																																																																				0
Blacksmith's Tool	1			100					2	Eternity Cable	rpl						Eternity Cable			100																																																																																				0
Blacksmith's Tool	1			100					2	Dreamsplitter	rpl						Dreamsplitter			100																																																																																				0
Blacksmith's Tool	1			100					2	Murdering Shard	rpl						Murdering Shard			100																																																																																				0
Blacksmith's Tool	1			100					2	Dawn Shadow	rpl						Dawn Shadow			100																																																																																				0
Blacksmith's Tool	1			100					2	Desecration Sigil	rpl						Desecration Sigil			100																																																																																				0
Blacksmith's Tool	1			100					2	Haven of Light	rpl						Haven of Light			100																																																																																				0
Blacksmith's Tool	1			100					2	Soul of the Tanar'Ri	rpl						Soul of the Tanar'Ri			100																																																																																				0
Blacksmith's Tool	1			100					2	Athena's Tirade	rpl						Athena's Tirade			100																																																																																				0
Blacksmith's Tool	1			100					2	Goblin Grin	rpl						Goblin Grin			100																																																																																				0
Blacksmith's Tool	1			100					2	Death's Witness	rpl						Death's Witness			100																																																																																				0
Blacksmith's Tool	1			100					2	Scalphunter	rpl						Scalphunter			100																																																																																				0
Blacksmith's Tool	1			100					2	Sinister Smile	rpl						Sinister Smile			100																																																																																				0
Blacksmith's Tool	1			100					2	Chiaroscuro Visage	rpl						Chiaroscuro Visage			100																																																																																				0
Blacksmith's Tool	1			100					2	Janus' Face	rpl						Janus' Face			100																																																																																				0
Blacksmith's Tool	1			100					2	Carrion Comfort	rpl						Carrion Comfort			100																																																																																				0
Blacksmith's Tool	1			100					2	Rictus of the Joker	rpl						Rictus of the Joker			100																																																																																				0
Blacksmith's Tool	1			100					2	Dreamsender	rpl						Dreamsender			100																																																																																				0
Blacksmith's Tool	1			100					2	Reaper's Trophy	rpl						Reaper's Trophy			100																																																																																				0
Blacksmith's Tool	1			100					2	Basilisk's Kiss	rpl						Basilisk's Kiss			100																																																																																				0
Blacksmith's Tool	1			100					2	Seafarer's Security	rpl						Seafarer's Security			100																																																																																				0
Blacksmith's Tool	1			100					2	Grip of the Gorgon	rpl						Grip of the Gorgon			100																																																																																				0
Blacksmith's Tool	1			100					2	Secret of Steel	rpl						Secret of Steel			100																																																																																				0
Blacksmith's Tool	1			100					2	Hellchatter	rpl						Hellchatter			100																																																																																				0
Blacksmith's Tool	1			100					2	Devourer of Worlds	rpl						Devourer of Worlds			100																																																																																				0
Blacksmith's Tool	1			100					2	Twilight Presence	rpl						Twilight Presence			100																																																																																				0
Blacksmith's Tool	1			100					2	Voice of the Prophet	rpl						Voice of the Prophet			100																																																																																				0
Blacksmith's Tool	1			100					2	Black Rain	rpl						Black Rain			100																																																																																				0
Blacksmith's Tool	1			100					2	Grand Inquisitor	rpl						Grand Inquisitor			100																																																																																				0
Blacksmith's Tool	1			100					2	Cleric's Rebuke	rpl						Cleric's Rebuke			100																																																																																				0
Blacksmith's Tool	1			100					2	Sacred Temptation	rpl						Sacred Temptation			100																																																																																				0
Blacksmith's Tool	1			100					2	Dawnfall	rpl						Dawnfall			100																																																																																				0
Blacksmith's Tool	1			100					2	Fortress of Morpheus	rpl						Fortress of Morpheus			100																																																																																				0
Blacksmith's Tool	1			100					2	Chaos Kin	rpl						Chaos Kin			100																																																																																				0
Blacksmith's Tool	1			100					2	Darkhunger	rpl						Darkhunger			100																																																																																				0
Blacksmith's Tool	1			100					2	Dragonkin	rpl						Dragonkin			100																																																																																				0
Blacksmith's Tool	1			100					2	Blood Dancer	rpl						Blood Dancer			100																																																																																				0
Blacksmith's Tool	1			100					2	Chimera's Chaos	rpl						Chimera's Chaos			100																																																																																				0
Blacksmith's Tool	1			100					2	Deadgaze	rpl						Deadgaze			100																																																																																				0
Blacksmith's Tool	1			100					2	Gambler's Glory	rpl						Gambler's Glory			100																																																																																				0
Blacksmith's Tool	1			100					2	Slayer's Glee	rpl						Slayer's Glee			100																																																																																				0
Blacksmith's Tool	1			100					2	Hellraiser's Casque	rpl						Hellraiser's Casque			100																																																																																				0
Blacksmith's Tool	1			100					2	Foul Embrace	rpl						Foul Embrace			100																																																																																				0
Blacksmith's Tool	1			100					2	Conscience of the King	rpl						Conscience of the King			100																																																																																				0
Blacksmith's Tool	1			100					2	Blood Brother	rpl						Blood Brother			100																																																																																				0
Blacksmith's Tool	1			100					2	Copperbite	rpl						Copperbite			100																																																																																				0
Blacksmith's Tool	1			100					2	Silverskin	rpl						Silverskin			100																																																																																				0
Blacksmith's Tool	1			100					2	Eye of Heaven	rpl						Eye of Heaven			100																																																																																				0
Blacksmith's Tool	1			100					2	Wraith Whisper	rpl						Wraith Whisper			100																																																																																				0
Blacksmith's Tool	1			100					2	The King's Heart	rpl						The King's Heart			100																																																																																				0
Blacksmith's Tool	1			100					2	Creeper's Canopy	rpl						Creeper's Canopy			100																																																																																				0
Blacksmith's Tool	1			100					2	Night Prowler	rpl						Night Prowler			100																																																																																				0
Blacksmith's Tool	1			100					2	Falcon Sharp	rpl						Falcon Sharp			100																																																																																				0
Blacksmith's Tool	1			100					2	Sanctuary's Scion	rpl						Sanctuary's Scion			100																																																																																				0
Blacksmith's Tool	1			100					2	Stone Feather	rpl						Stone Feather			100																																																																																				0
Blacksmith's Tool	1			100					2	Dusk Ray	rpl						Dusk Ray			100																																																																																				0
Blacksmith's Tool	1			100					2	Scarab Cleaver	rpl						Scarab Cleaver			100																																																																																				0
Blacksmith's Tool	1			100					2	Slithertongue	rpl						Slithertongue			100																																																																																				0
Blacksmith's Tool	1			100					2	Werewolf Talons	rpl						Werewolf Talons			100																																																																																				0
Blacksmith's Tool	1			100					2	Adamantine Razors	rpl						Adamantine Razors			100																																																																																				0
Blacksmith's Tool	1			100					2	Glitterkill	rpl						Glitterkill			100																																																																																				0
Blacksmith's Tool	1			100					2	Iniquity Razor	rpl						Iniquity Razor			100																																																																																				0
Blacksmith's Tool	1			100					2	Silent Shank	rpl						Silent Shank			100																																																																																				0
Blacksmith's Tool	1			100					2	Sin Sister	rpl						Sin Sister			100																																																																																				0
Blacksmith's Tool	1			100					2	Torturer's Trust	rpl						Torturer's Trust			100																																																																																				0
Blacksmith's Tool	1			100					2	Elven Heartband	rpl						Elven Heartband			100																																																																																				0
Blacksmith's Tool	1			100					2	Knell of Discord	rpl						Knell of Discord			100																																																																																				0
Blacksmith's Tool	1			100					2	Vampiric Regeneration	rpl						Vampiric Regeneration			100																																																																																				0
Blacksmith's Tool	1			100					2	Planatar Enlightenment	rpl						Planatar Enlightenment			100																																																																																				0
Blacksmith's Tool	1			100					2	Thief of Dreams	rpl						Thief of Dreams			100																																																																																				0
Blacksmith's Tool	1			100					2	Jackal's Laughter	rpl						Jackal's Laughter			100																																																																																				0
Blacksmith's Tool	1			100					2	Fellowship's Hope	rpl						Fellowship's Hope			100																																																																																				0
Blacksmith's Tool	1			100					2	Faerie Ring	rpl						Faerie Ring			100																																																																																				0
Blacksmith's Tool	1			100					2	Eye of Kahn	rpl						Eye of Kahn			100																																																																																				0
Blacksmith's Tool	1			100					2	Psyche Shroud	rpl						Psyche Shroud			100																																																																																				0
Blacksmith's Tool	1			100					2	Amulet of Warding	rpl						Amulet of Warding			100																																																																																				0
Blacksmith's Tool	1			100					2	Cryptking	rpl						Cryptking			100																																																																																				0
Blacksmith's Tool	1			100					2	Sequence of Seasons	rpl						Sequence of Seasons			100																																																																																				0
Blacksmith's Tool	1			100					2	Rat Lord's Gate	rpl						Rat Lord's Gate			100																																																																																				0
Blacksmith's Tool	1			100					2	Luck Sigil	rpl						Luck Sigil			100																																																																																				0
Blacksmith's Tool	1			100					2	The Vanquisher	rpl						The Vanquisher			100																																																																																				0
Blacksmith's Tool	1			100					2	Foulsigil	rpl						Foulsigil			100																																																																																				0
Blacksmith's Tool	1			100					2	Veil of Despair	rpl						Veil of Despair			100																																																																																				0
Blacksmith's Tool	1			100					2	Civerb's Ward	rpl						Civerb's Ward			100																																																																																				0
Blacksmith's Tool	1			100					2	Civerb's Icon	rpl						Civerb's Icon			100																																																																																				0
Blacksmith's Tool	1			100					2	Civerb's Cudgel	rpl						Civerb's Cudgel			100																																																																																				0
Blacksmith's Tool	1			100					2	Hsarus' Iron Heel	rpl						Hsarus' Iron Heel			100																																																																																				0
Blacksmith's Tool	1			100					2	Hsarus' Iron Fist	rpl						Hsarus' Iron Fist			100																																																																																				0
Blacksmith's Tool	1			100					2	Hsarus' Iron Stay	rpl						Hsarus' Iron Stay			100																																																																																				0
Blacksmith's Tool	1			100					2	Cleglaw's Tooth	rpl						Cleglaw's Tooth			100																																																																																				0
Blacksmith's Tool	1			100					2	Cleglaw's Claw	rpl						Cleglaw's Claw			100																																																																																				0
Blacksmith's Tool	1			100					2	Cleglaw's Pincers	rpl						Cleglaw's Pincers			100																																																																																				0
Blacksmith's Tool	1			100					2	Iratha's Collar	rpl						Iratha's Collar			100																																																																																				0
Blacksmith's Tool	1			100					2	Iratha's Cuff	rpl						Iratha's Cuff			100																																																																																				0
Blacksmith's Tool	1			100					2	Iratha's Coil	rpl						Iratha's Coil			100																																																																																				0
Blacksmith's Tool	1			100					2	Iratha's Cord	rpl						Iratha's Cord			100																																																																																				0
Blacksmith's Tool	1			100					2	Isenhart's Lightbrand	rpl						Isenhart's Lightbrand			100																																																																																				0
Blacksmith's Tool	1			100					2	Isenhart's Parry	rpl						Isenhart's Parry			100																																																																																				0
Blacksmith's Tool	1			100					2	Isenhart's Case	rpl						Isenhart's Case			100																																																																																				0
Blacksmith's Tool	1			100					2	Isenhart's Horns	rpl						Isenhart's Horns			100																																																																																				0
Blacksmith's Tool	1			100					2	Vidala's Barb	rpl						Vidala's Barb			100																																																																																				0
Blacksmith's Tool	1			100					2	Vidala's Fetlock	rpl						Vidala's Fetlock			100																																																																																				0
Blacksmith's Tool	1			100					2	Vidala's Ambush	rpl						Vidala's Ambush			100																																																																																				0
Blacksmith's Tool	1			100					2	Vidala's Snare	rpl						Vidala's Snare			100																																																																																				0
Blacksmith's Tool	1			100					2	Milabrega's Orb	rpl						Milabrega's Orb			100																																																																																				0
Blacksmith's Tool	1			100					2	Milabrega's Rod	rpl						Milabrega's Rod			100																																																																																				0
Blacksmith's Tool	1			100					2	Milabrega's Diadem	rpl						Milabrega's Diadem			100																																																																																				0
Blacksmith's Tool	1			100					2	Milabrega's Robe	rpl						Milabrega's Robe			100																																																																																				0
Blacksmith's Tool	1			100					2	Cathan's Rule	rpl						Cathan's Rule			100																																																																																				0
Blacksmith's Tool	1			100					2	Cathan's Mesh	rpl						Cathan's Mesh			100																																																																																				0
Blacksmith's Tool	1			100					2	Cathan's Visage	rpl						Cathan's Visage			100																																																																																				0
Blacksmith's Tool	1			100					2	Cathan's Sigil	rpl						Cathan's Sigil			100																																																																																				0
Blacksmith's Tool	1			100					2	Cathan's Seal	rpl						Cathan's Seal			100																																																																																				0
Blacksmith's Tool	1			100					2	Tancred's Crowbill	rpl						Tancred's Crowbill			100																																																																																				0
Blacksmith's Tool	1			100					2	Tancred's Spine	rpl						Tancred's Spine			100																																																																																				0
Blacksmith's Tool	1			100					2	Tancred's Hobnails	rpl						Tancred's Hobnails			100																																																																																				0
Blacksmith's Tool	1			100					2	Tancred's Weird	rpl						Tancred's Weird			100																																																																																				0
Blacksmith's Tool	1			100					2	Tancred's Skull	rpl						Tancred's Skull			100																																																																																				0
Blacksmith's Tool	1			100					2	Sigon's Gage	rpl						Sigon's Gage			100																																																																																				0
Blacksmith's Tool	1			100					2	Sigon's Visor	rpl						Sigon's Visor			100																																																																																				0
Blacksmith's Tool	1			100					2	Sigon's Shelter	rpl						Sigon's Shelter			100																																																																																				0
Blacksmith's Tool	1			100					2	Sigon's Sabot	rpl						Sigon's Sabot			100																																																																																				0
Blacksmith's Tool	1			100					2	Sigon's Wrap	rpl						Sigon's Wrap			100																																																																																				0
Blacksmith's Tool	1			100					2	Sigon's Guard	rpl						Sigon's Guard			100																																																																																				0
Blacksmith's Tool	1			100					2	Infernal Cranium	rpl						Infernal Cranium			100																																																																																				0
Blacksmith's Tool	1			100					2	Infernal Torch	rpl						Infernal Torch			100																																																																																				0
