index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Calming Embrace	Nature's Grove	hla	Hard Leather Armor	7	12	7	dyel	dyel						5	5000	2	ac%		80	120	skilltab	15	1	3																																					regen		3	3					regen-mana		75	75																					0
Animal Kinship	Nature's Grove	dr3	Antlers	7	12	15	dyel	dyel						5	5000	2	ac		30	40	dru		1	1																																													skill	224	4	4																					0
Colenzo's Skull	Colenzo's Grave	ne2	Zombie Head	7	11	16	blac	blac						5	5000	2	block		25	30	block1		20	20																													ac%		100	100					reanimate	1	10	10																													0
Colenzo's Wand	Colenzo's Grave	bwn	Bone Wand	7	11	15	blac	blac						5	5000	2	nec		1	1	mana		33	33																																					dmg-norm		8	20																													0
Colenzo's Shroud	Colenzo's Grave	qui	Quilted Armor	7	11	11	blac	blac						5	5000	2	red-dmg%		10	10	gethit-skill	44	15	2																													ac		77	77					regen-mana		40	40																													0
Colenzo's Belt	Colenzo's Grave	mbl	Belt	7	11	9	blac	blac						5	5000	2	hp		20	25	balance1		15	15																													ac		20	20																																					0
Mystic Orb	Mystic Element	ob2	Sacred Globe	7	15	15								5	5000	2	sor		1	1	mana-kill		2	4																													skilltab	5	1	1					skilltab	4	1	1					skilltab	3	1	1																					0
Mystic Plate	Mystic Element	ltp	Light Plate	7	20	21								5	5000	2	ac%		75	105	res-all		20	20																													dmg-to-mana		10	10					mana/lvl	8																															0
Mystic Ward	Mystic Element	lrg	Large Shield	7	12	14								5	5000	2	ac		20	30	block		15	25																													block1		15	15					res-cold		20	20					res-ltng		20	20																					0
Mystic Slippers	Mystic Element	lbt	Boots	7	9	9								5	5000	2	move2		20	20	balance2		20	20																													res-fire		20	20					res-pois		20	20																													0
Maiden's Heartwood	Maiden's Grace	am1	Stag Bow	7	15	15	dred	dred						5	5000	2	dmg-norm		15	30	openwounds		35	55																																													swing2		25	25																					0
Maiden's Choker	Maiden's Grace	amu	Amulet	5	12	12								5	5000	2	allskills		1	1																																									res-all		12	12																													0
Maiden's Elven Mail	Maiden's Grace	scl	Scale Mail	7	16	14	dgld	dgld						5	5000	2	ac/lvl	8			dex		15	15																													red-dmg		12	12					red-mag		8	8					lifesteal		5	5																					0
Maiden's Band	Maiden's Grace	vbl	Light Belt	7	8	10	oran	oran						5	5000	2	hp%		5	10	mana		5	10																													vit		10	10																																					0
Rabid Visage	Warlord's Fury	ba4	Assault Helmet	7	18	18	dgrn	dgrn						5	5000	2	bar		1	1	oskill	77	1	1																																					skilltab	12	1	1																													0
Chaos Heart	Warlord's Fury	fld	Field Plate	7	20	22	dred	dred						5	5000	2	ac%		90	120	sock		2	2																													hp		40	40													red-dmg%		10	10																					0
Berserker's Pike	Warlord's Fury	pik	Pike	7	20	20	dblu	dblu						5	5000	2	dmg%		110	140	rep-dur	5																															swing2		30	30																																					0
Shattering Fist	Warlord's Fury	hgl	Gauntlets	7	20	21	oran	oran						5	5000	2	ac		20	30	crush		10	10																																					str		20	20																													0
Guardian's Wing	Guardian's Mantle	plt	Plate Mail	7	17	19								5	5000	2	ac		75	100	res-ltng		15	20																																													regen		3	3																					0
Guardian's Icebrand	Guardian's Mantle	scp	Scepter	7	17	14								5	5000	2	dmg%		80	120	dmg-cold	100	10	20																																					gethit-skill	40	15	3																													0
Guardian's Deflector	Guardian's Mantle	pa3	Heraldic Shield	7	17	15								5	5000	2	sock		1	4	block		15	15																																					block3		25	25																													0
Guardian's Viser	Guardian's Mantle	fhl	Full Helm	7	17	13								5	5000	2	ac		20	30	manasteal		3	5																																					hp		20	20																													0
Dragon Flanks	Silent Runnings	bsh	Bone Shield	7	14	18	dblu	dblu						5	5000	2	ac%		65	90	red-dmg%		5	10																													block		20	20																																					0
Feral Paw	Silent Runnings	vgl	Heavy Gloves	7	12	14	whit	whit						5	5000	2	swing2		20	20	lifesteal		4	6																																					mag%		25	25																													0
Turtle's Shell	Silent Runnings	ful	Full Plate Mail	7	22	23	dgrn	dgrn						5	5000	2	ac%		90	130	balance2		20	20																																					red-dmg%		8	8																													0
Wolf Pelt	Silent Runnings	tbl	Heavy Belt	7	14	14	dgld	dgld						5	5000	2	hp		35	50	res-all		10	15																																					ac		20	20																													0
Beast Collar	Silent Runnings	bhm	Bone Helm	7	15	15								5	5000	2	dmg%		20	30	dmg-mag		20	30																																																																					0
Jeweled Circlet	Royal Regalia	ci0	Circlet	7	22	22								5	5000	2	str		15	15	vit		15	15																													hp		20	20					balance1		15	15																													0
Jeweled Belt	Royal Regalia	hbl	Plated Belt	7	22	22								5	5000	2	ac%		100	125	res-all		10	15																																													red-dmg%		10	10																					0
Ruby Ring	Royal Regalia	rin	Ring	4	22	22								5	5000	2	res-all		10	15	red-mag		6	8																																					hp		30	30					mag%		15	15																					0
Diamond Necklace	Royal Regalia	amu	Amulet	4	22	22								5	5000	2	res-all		15	20	mag%		20	30																																					allskills		1	1																													0
Winter's Heart	Four Seasons	aar	Ancient Armor	7	20	25	whit	whit						5	5000	2	pierce-cold		10	15	extra-cold		10	15																													abs-cold%		10	10					res-cold-max		10	10					nofreeze		1	1																					0
Spring Dawning	Four Seasons	ghm	Great Helm	7	20	22	cblu	cblu						5	5000	2	pierce-ltng		10	15	extra-ltng		10	15																													abs-ltng%		10	10					res-ltng-max		10	10																													0
Summer Flame	Four Seasons	hbt	Greaves	7	20	21	dred	dred						5	5000	2	pierce-fire		10	15	extra-fire		10	15																													abs-fire%		10	10					res-fire-max		10	10																													0
Autumn's Decay	Four Seasons	tgl	Light Gauntlets	7	20	19	oran	oran						5	5000	2	pierce-pois		10	15	extra-pois		10	15																													res-mag		10	10					res-pois-max		10	10					res-pois-len		75	75																					0
Forgotten Plate	Forgotten Treasures	brs	Breast Plate	7	15	15								5	5000	2	ac%		75	120	sock		3	3																																																	res-mag		10	10									red-dmg%		15	15					0
Forgotten Mask	Forgotten Treasures	msk	Mask	7	15	15								5	5000	2	ac%		60	100	sock		3	3																													mana		30	30																					regen-mana		50	50													0
Forgotten Cord	Forgotten Treasures	tbl	Heavy Belt	7	10	10								5	5000	2	ac		20	30	regen		2	5																																					hp		50	50					manasteal		5	5																					0
Forgotten Gloves	Forgotten Treasures	vgl	Heavy Gloves	7	10	10								5	5000	2	ac		20	30	swing2		20	20																																																	lifesteal		5	5									str		10	10					0
Forgotten Greaves	Forgotten Treasures	tbt	Light Plate Greaves	7	15	15								5	5000	2	ac%		80	110	move2		30	30																																					balance2		20	20													dex		10	10													0
Forgotten Shield	Forgotten Treasures	spk	Spike Shield	7	10	10								5	5000	2	ac%		100	135	sock		3	3																													block2		25	25													block		20	20																					0
Holy Power	Fallen Grace	xtg	Battle Gauntlets	7	30	33								5	5000	2	swing1		10	10	manasteal		4	6	res-fire		15	20	ac%		80	100																													str		15	15																													0
Prayer of Heavens	Fallen Grace	pa8	Protector Shield	7	30	38								5	5000	2	block		20	30	block2		20	20	balance2		20	20	ac/lvl	8																																															gethit-skill	64	7	1													0
Holy Symbol	Fallen Grace	amu	Amulet	5	30	40								5	5000	2	pal		1	1	hp		25	50	res-ltng		25	50	res-pois-len		60	80																					mana		25	25					gethit-skill	273	9	2																													0
Wrath of Heavens	Fallen Grace	9sc	Rune Scepter	7	30	29								5	5000	2	dmg%		160	190	dmg-norm		20	40	pal		1	1	ignore-ac		1	1																													hit-skill	51	12	1					dmg/lvl	8																							0
Light of Faith	Fallen Grace	xld	Sharktooth Armor	7	30	36								5	5000	2	ac%		100	200	red-dmg%		15	15	res-mag		15	20	regen-mana		50	50																																					gethit-skill	154	6	2					regen		3	3													0
Radament's Leather	Radament's Plague	xla	Demonhide Armor	7	30	34								5	5000	2	ac/lvl	32			skilltab	8	1	3	res-ltng		25	40																																									mana		50	50																					0
Radament's Trophy	Radament's Plague	ne8	Sexton Trophy	7	30	36								5	5000	2	block		20	30	ac/lvl	16			res-fire		25	40																																									red-dmg%		20	20																					0
Radament's Secret	Radament's Plague	rin	Ring	5	30	39								5	5000	2	regen-mana		50	75	cast1		10	10	mana/lvl	8			res-all		8	15																																																													0
Radament's Greaves	Radament's Plague	xlb	Demonhide Boots	7	30	32								5	5000	2	ac/lvl	8			move3		30	30	res-cold		25	40																																																	nofreeze		1	1													0
Radament's Cursed Crown	Radament's Plague	xrn	Grand Crown	7	30	41								5	5000	2	ac%		100	100	balance2		20	20	res-pois		25	40																																	gold%		100	100					mag%		35	35																					0
Talic's Mask	Talic's Gift	ba9	Savage Helmet	7	35	40	lred	lred						5	5000	2	bar		1	1	gethit-skill	42	12	6	hp		50	70	ac%		100	100																					dmg-max		15	15													swing1		15	15																					0
Talic's Plates	Talic's Gift	xth	Embossed Armor	7	35	43	lred	lred						5	5000	2	ac%		180	220	res-all		20	30	sock		1	1																									dmg-demon		100	100																																					0
Talic's Fury	Talic's Gift	9gd	Executionor Sword	7	35	42	lred	lred						5	5000	2	dmg%		220	300	indestruct		1	1																													swing3		40	40					dmg-norm		50	125					pierce-phys		15	15																					0
Talic's Blessing	Talic's Gift	xts	Ancient Shield	7	35	41	lred	lred						5	5000	2	block		25	35	balance2		25	25	dmg%		35	50																																	block2		20	20																													0
Cry of the Wolf	Shapeshifting	xcl	Tigulated Mail	7	30	35	dred	dred						5	5000	2	charged	237	8	35	ac%/lvl	16			move2		20	20																																	dmg/lvl	8																															0
Full Moon Frenzy	Shapeshifting	dr6	Alpha Helm	7	30	33	dred	dred						5	5000	2	ac%		180	180	skilltab	16	2	3	sock		2	2	hp%		10	10																					mag%		25	25																																					0
Torment of Innocence	Shapeshifting	9m9	War Club	7	30	39	dred	dred						5	5000	2	dmg%		160	200	swing3		50	50	ease		-40	-40	att%		20	20																													res-all		35	35																													0
Drawing Out the Beast	Shapeshifting	zlb	Demonhide Sash	7	30	32	dred	dred						5	5000	2	ac%		90	110	hp		30	40	res-all		10	15	cast2		20	20																																					mana		50	50																					0
Kashya's Grace	Kashya's Avatar	xvb	Sharkskin Boots	7	35	32								5	5000	2	ac%		120	150	dex		15	15	res-cold		20	30	dmg-max		5	10																					balance2		20	20																																					0
Kashya's Protector	Kashya's Avatar	xhn	Mesh Armor	7	35	35		dgrn						5	5000	2	ac%		100	120	sock		2	2	hp/lvl	8			res-pois-len		80	80																													swing1		15	15					hp		25	25																					0
Kashya's Whisper	Kashya's Avatar	ci1	Coronet	7	35	40								5	5000	2	allskills		1	1	cast2		20	20	dmg-to-mana		22	22	manasteal		5	5																																																													0
Kashya's Bond	Kashya's Avatar	rin	Ring	5	35	38								5	5000	2	str		10	10	lifesteal		6	6	mana		40	50	knock		2	2																																																													0
Kashya's Last Goodbye	Kashya's Avatar	xmg	Heavy Bracers	7	35	33		dgrn						5	5000	2	res-fire		30	40	res-ltng		30	40	res-pois		30	40	res-cold		30	40																																													swing2		20	20													0
Kashya's Caster	Kashya's Avatar	am7	Ceremonial Bow	7	35	40		dgrn						5	5000	2	dmg%		170	210	swing2		20	20	sock		3	3																																																									dmg-elem	100	25	100					0
Eye of the Prophet	Lost Sanctuary	ob8	Cloudy Sphere	7	32	33								5	5000	2	allskills		1	1	cast2		20	20	aura	109	4	4	mana%		20	20																																																													0
Power of Fire	Lost Sanctuary	xui	Ghost Armor	7	32	33	dred	dred						5	5000	2	ac%		100	120	extra-fire		10	20	pierce-fire		10	20	abs-fire%		10	20	res-fire		35	50																																	regen		5	5																					0
Power of Ice	Lost Sanctuary	xap	War Hat	7	32	33	cblu	cblu						5	5000	2	ac%		100	120	extra-cold		10	20	pierce-cold		10	20	abs-cold%		10	20	res-cold		35	50																									half-freeze		1	1																													0
Power of Lightning	Lost Sanctuary	xuc	Defender	7	32	33	dyel	dyel						5	5000	2	ac%		100	120	extra-ltng		10	20	pierce-ltng		10	20	abs-ltng%		10	20	res-ltng		35	50																	block		20	20																																					0
Shadow Ninja	Hidden Secrets	xtu	Trellised Armor	7	35	35	blac	dgry						5	5000	2	ac		300	400	oskill	dodge	1	1	oskill	evade	1	1	oskill	avoid	1	1																																																													0
Night's Caress	Hidden Secrets	xlg	Demonhide Gloves	7	35	32		blac						5	5000	2	ac/lvl	12			swing2		20	20	skilltab	20	2	2																																	res-all		15	15																													0
Mystic Blades	Hidden Secrets	9qr	Scissors Quhab	7	35	39		blac						5	5000	2	dmg%		160	190	swing2		20	20	sock		1	1																																	lifesteal		8	8					manasteal		8	8																					0
Fade to Black	Hidden Secrets	ztb	Battle Belt	7	35	38		blac						5	5000	2	fade		1	1	res-all		15	15	hp		25	25	mana		25	25	ac%		80	80																	slow		15	15																																					0
Fall From Grace	Traitor of Light	rin	Ring	3	45	45								5	5000	2	lifesteal		6	9	manasteal		4	7	hp		35	50	mana		60	80																																																													0
Tyrael's Grief	Traitor of Light	rin	Ring	3	45	45								5	5000	2	regen		3	5	regen-mana		45	70	cast2		20	20	mag%		25	35																																																													0
Redemption Denied	Traitor of Light	amu	Amulet	3	45	45								5	5000	2	allskills		1	1	mag%		40	50	all-stats		10	10	res-all		15	25																																																													0
Hell's Embrace	Traitor of Light	xtp	Mage Plate	7	45	45	dred	dred						5	5000	2	ac%		160	200	sock		4	4																													gold%		100	100					mag%		50	50					allskills		1	1																					0
Spectral Knight's Unholy Shield	Undead Legion	xsh	Grim Shield	7	30	38	whit	whit						5	5000	2	ac%		125	155	red-dmg%		15	15	res-all		20	30	hp		-10	-10																					block		35	35																																					0
Death Knight's Demon Blade	Undead Legion	9bs	Battle Sword	7	30	37	whit	whit						5	5000	2	dmg%		160	220	dmg-norm		20	55	lifesteal		15	15																									swing1		20	20					cold-len	300							dmg-demon		100	100																					0
Lich's Cranium	Undead Legion	xh9	Grim Helm	7	30	39	whit	whit						5	5000	2	mana		60	80	cast2		25	25	sock		1	1																																	str		15	15					sor		1	1																					0
Skeleton Warrior's Corpse Plate	Undead Legion	xlt	Templar Plate	7	30	42	whit	whit						5	5000	2	ac%		80	120	ac/lvl	16			balance2		25	25																																									nofreeze																								0
Nihlathak's Dagger	Nihlathak's Legacy	9dg	Poignard	7	30	30								5	5000	2	dmg-norm		35	70	swing3		75	75	cast1		10	10																									heal-kill		8	8					mana-kill		5	5																													0
Nihlathak's Mask	Nihlathak's Legacy	xsk	Death Mask	7	30	37								5	5000	2	ac%		100	115	move1		15	15	cast1		10	10																									oskill	70	5	5					oskill	skeleton mastery	3	3																													0
Nihlathak's Robes	Nihlathak's Legacy	xea	Serpent Skin	7	30	33								5	5000	2	half-freeze		1	1	ac		300	400	nec		1	1	dmg-undead		50	50																													noheal		1	1																													0
Greiz's Reach	Greiz's Tirade	9pa	Partizan	7	30	37	dgld	dgld						5	5000	2	dmg%		180	240	swing2		30	30	knock		12	12																									dmg-fire		75	120																																					0
Greiz's Mail	Greiz's Tirade	xng	Linked Mail	7	30	35								5	5000	2	ac%		120	150	sock		1	1	balance2		25	25	res-all		15	15																					hp		35	35																																					0
Greiz's Visor	Greiz's Tirade	xlm	Casque	7	30	34								5	5000	2	ac%		75	120	dmg-to-mana		10	10	mana-kill		3	3																									mana		35	35																																					0
Red Dragon Scale Mail	Dragon Armor	xcl	Tigulated Mail	7	30	37	dred	cred						5	5000	2	ac/lvl	32			abs-fire%		35	35																													extra-fire		40	40																																					0
Black Dragon Hide Shield	Dragon Armor	xit	Dragon Shield	7	30	37	blac	blac						5	5000	2	res-all		60	60	ac%		100	100																													block		20	20					block2		30	30																													0
Green Dragon Mask	Dragon Armor	xhm	Winged Helm	7	30	40	dgrn	dgrn						5	5000	2	res-pois		50	50	res-pois-len		60	90	ac%		100	125	red-dmg		20	25																													red-mag		20	20																													0
Fallen Star	Primal Rage	uhb	Myrmidon Greaves	7	60	77	oran	oran						5	5000	2	ac%		170	200	res-ltng		25	35	move2		25	25	balance2		20	20																					red-dmg		15	15					red-mag		15	15					str		30	30																					0
Solar Flair	Primal Rage	7b7	Champion Sword	7	60	69	cred	cred						5	5000	2	dmg%		200	300	dmg-norm		75	200	thorns/lvl	16			dmg-to-mana		10	10																					manasteal		7	7					lifesteal		12	12					swing3		40	40																					0
Super Nova	Primal Rage	7gs	Balrog Blade	7	60	75	whit	whit						5	5000	2	dmg%		200	300	dmg/lvl	24			swing3		30	30	sock		2	2																					hit-skill	48	12	19					hp		50	50																													0
Meteor Shower	Primal Rage	upl	Balrog Skin	7	60	80	cblu	cblu						5	5000	2	ac%		160	200	balance3		40	40	hp%		10	15	mana%		10	15																					bar		1	1					gethit-skill	56	15	7																													0
Celestial Rage	Primal Rage	baf	Guardian Crown	7	60	79								5	5000	2	bar		2	2	red-dmg%		15	20	all-stats		15	25																									addxp		3	3					swing2		20	20					att/lvl	32																							0
Teachings of Hell	Hell's Calling	urn	Corona	7	60	81	blac	blac						5	5000	2	ac%		100	150	res-all		20	30	sock		2	2																									pal		1	1					balance2		20	20					addxp		3	3																					0
Unholy Aura	Hell's Calling	uar	Sacred Plate	7	60	83	blac	blac						5	5000	2	ac%		140	190	aura	125	3	5	nofreeze		1	1	res-curs-len		50	50																					allskills		1	1					rip		1	1					red-dmg%		15	15																					0
Retribution	Hell's Calling	pae	Zakarum Shield	7	60	69	blac	blac						5	5000	2	ac/lvl	32			block		33	33	block3		40	40	dmg%		60	80																					dmg-max		33	33					dmg-min		15	15					res-mag		25	25																					0
Glory of Death	Hell's Calling	utg	Crusader Gauntlets	7	60	74	blac	blac						5	5000	2	cast2		20	20	mana		60	60	ac%		75	125	oskill	125	3	3																					gethit-skill	66	10	3					res-all		15	15					mag%		50	50																					0
Devil's Touch	Hell's Calling	7qs	Seraph Rod	7	60	71	blac	blac						5	5000	2	dmg%		220	300	dmg-demon		300	300	dmg-norm		40	120	swing2		30	30																					dex		25	25					hit-skill	44	20	8					cold-len		600	600																					0
Mysterious Enigma	The Mystery	ci2	Tiara	7	60	59	dpur	dpur						5	5000	2	allskills		1	1																																	res-all		15	15					res-all		15	15	ac/lvl	12			gold%		100	100	mag%		25	25	mana/lvl	8			hp/lvl	10											0
Mysterious Paradox	The Mystery	ula	Scarab Husk	7	60	68	dpur	dpur						5	5000	2	allskills		2	2																																	red-dmg%		15	15					ac%		120	120					res-all		15	15	res-mag		15	15	balance2		20	20	cast2		20	20									0
Mysterious Riddle	The Mystery	ulc	Spiderweb Sash	7	60	63	dpur	dpur						5	5000	2	allskills		1	1																																	abs-cold%		10	10					abs-ltng%		10	10					abs-fire%		10	10	mag%		25	25	res-pois-len		50	50	res-all		10	10									0
Mysterious Conundrum	The Mystery	uow	Aegis	7	60	84	dpur	dpur						5	5000	2	ease		-80	-80																																	block		40	40					block2		40	40					regen		15	15	regen-mana		75	75	red-dmg%		15	15	ac%		110	110									0
Mysterious Perplexing Puzzle	The Mystery	obc	Eldritch Orb	7	60	70	dpur	dpur						5	5000	2	allskills		2	2																																	extra-fire		10	10	res-fire		25	25	extra-cold		10	10	res-cold		25	25	extra-ltng		10	10	res-ltng		25	25																	0
Astral Plates	Astral Projection	uhn	Boneweave	7	60	73	cblu	cblu						5	5000	2	ac%		150	180	sock		1	1	ethereal		1	1	indestruct		1	1																					red-dmg%		15	15													res-all		15	15																					0
Astral Bracers	Astral Projection	umg	Vambraces	7	60	70	oran	oran						5	5000	2	ac%		125	150	swing3		30	30	ethereal		1	1	indestruct		1	1																													dex		25	25					str		25	25	gethit-skill	243	4	20																	0
Astral Greaves	Astral Projection	umb	Boneweave Boots	7	60	74	cred	cred						5	5000	2	ac%		140	170	move3		30	30	ethereal		1	1	indestruct		1	1																					lifesteal		6	6													manasteal		6	6					gethit-skill	48	20	14													0
Astral Mace	Astral Projection	7mt	Devil Star	7	60	69	whit	whit						5	5000	2	dmg%		220	280	swing2		25	25	ethereal		1	1	indestruct		1	1																													allskills		1	1					hit-skill	56	8	12					crush		25	25													0
Astral Headdress	Astral Projection	dre	Sky Spirit	7	60	80	dyel	dyel						5	5000	2	ac%		190	220	balance2		20	20	ethereal		1	1	indestruct		1	1																													dru		2	2					hp		135	135					mana		75	75													0
Cryptic Claws	Mysticism	7tw	Runic Talons	7	60	77								5	5000	2	dmg%		200	300	lifesteal		11	11	regen		6	6																									deadly		20	20					crush		20	20					addxp		2	2																					0
Way of the Shadow	Mysticism	ung	Diamond Mail	7	60	71	lgry	lgry						5	5000	2	balance3		30	30	ac%		160	200	hp		75	100																									red-dmg%		20	20					res-pois-len		50	50					nofreeze		1	1																					0
Dawns Mist	Mysticism	uvg	Vampirebone gloves	7	60	74	whit	whit						5	5000	2	ac%		100	140	mana		40	50	res-all		10	15																									swing2		20	20					dmg%		50	50					dex		15	15					str		15	15													0
Featherfoot	Mysticism	ulb	Wyrmhide Boots	7	60	73	lgrn	lgrn						5	5000	2	ac%		125	150	ac		100	200	move3		40	40																									oskill	dodge	3	3					oskill	evade	3	3					lightningskill		1	1					fireskill		1	1													0
Winter's Discourd	Mysticism	uvc	Vampirefang Belt	7	60	75	whit	whit						5	5000	2	ac%		100	120	gethit-skill	44	10	6	att%		20	20																									mag%		50	50					kick		10	10					red-dmg%		15	15																					0
Soulstone of Power	Chaos Energy	amu	Amulet	2	60	72	lpur	lpur						5	5000	2	allskills		2	2	cast2		35	35	regen-mana		75	75	red-dmg%		10	10																													pierce-mag		25	25					mag%		35	35																					0
Guiding Focus	Chaos Energy	ukp	Hydraskull	7	60	69	lpur	lpur						5	5000	2	ac%		120	165	balance2		20	20	allskills		1	1	mana-kill		4	8																					mana		50	50																					dmg-to-mana		22	22													0
Chaotic Shield	Chaos Energy	nef	Bloodlord Skull	7	60	83	lpur	lpur						5	5000	2	nec		3	3	gethit-skill	38	44	17	block		20	40	block2		30	30																													extra-mag		15	15													mana		55	55													0
Treads of Energy	Chaos Energy	uvb	Scarabshell Boots	7	60	74	lpur	lpur						5	5000	2	ac%		100	100	enr/lvl	6			manasteal		3	6	dmg-mag		122	122																					move3		30	30					mag%		25	25					magicskill		2	2																					0
Band of Mysticism	Chaos Energy	urs	Great Hauberk	7	60	77	lpur	lpur						5	5000	2	cast3		40	40	allskills		1	1	regen		7	9	hp%		20	20																					hp		85	85													mana		77	77					res-mag		20	20													0
Sarina's Lances	The Battlemaid	amf	Matriarchal Javelins	7	60	80	dgld	dgld						5	5000	2	dmg%		220	250	dmg-norm		35	70	skilltab	2	1	3	pierce		33	33																					swing2		20	20					ama		2	2																													0
Sarina's Wall	The Battlemaid	uit	Monarch	7	60	73	dgrn	dgrn						5	5000	2	ac%		180	220	ease		-40	-40	block		33	33	block3		30	30																													red-dmg%		20	20					res-all		25	25																					0
Sarina's Heartbane	The Battlemaid	ucl	Loricated Mail	7	60	75	dgrn	dgrn						5	5000	2	ac%		175	200	ease		-35	-35	dex		35	35	dmg-throw		20	50																																					hp		75	75					mana		75	75													0
Sarina's Halo	The Battlemaid	rin	Ring	2	60	71								5	5000	2	swing2		20	20	lifesteal		8	12	manasteal		6	8	aura	114	4	4																					mag%		20	20					hp		35	35																													0
Sarina's Valor	The Battlemaid	ulc	Spiderweb Sash	7	60	74	lgrn	lgrn						5	5000	2	ac%		160	200	fade		1	1	all-stats		15	15	pierce-ltng		15	15																													extra-ltng		25	25					heal-kill		15	15																					0
Headhunter	Warbreeder	7ga	Champion Axe	7	60	80	lred	lred						5	5000	2	dmg%		280	320	dmg/lvl	18			swing2		20	20	knock		1	1	noheal		1	1																																																									0
Black Rain	Warbreeder	uul	Shadow Plate	7	60	77	blac	blac						5	5000	2	ac%		170	200	red-dmg%		15	25	allskills		1	1	res-all		20	30	sock		2	2																																																									0
Crimson Crusader	Warbreeder	ulm	Armet	7	60	70	cred	cred						5	5000	2	ac/lvl	16			hp%		10	10	mana%		10	10	gethit-skill	154	12	4	bloody		1	1																																																									0
Deathmonger	Warbreeder	uhg	Ogre Gauntlets	7	60	79	dred	dred						5	5000	2	ac%		100	130	swing1		15	15	oskill	128	10	10	dmg%		30	40																					crush		22	22					deadly		16	16																													0
Sin and Greed	The Notorious	7s8	Thresher	7	60	80	dgrn	dgrn						5	5000	2	dmg%		400	500	ease		20	20	swing3		40	40	hit-skill	71	15	15																					mag%/lvl	12							gold%/lvl	32																															0
Wicked Impulse	The Notorious	ult	Hellforged Plate	7	60	75	cblu	cblu						5	5000	2	ac%		125	175	balance3		40	40	dmg%		100	160	swing3		30	30																																																													0
Evil Ways	The Notorious	utb	Mirrored Boots	7	60	76	blac	blac						5	5000	2	ac		200	250	move3		50	50	lifesteal		7	7	dex		15	25																													mag%		30	30																													0
Noxious Wispers	The Notorious	usk	Demonhead	7	60	70								5	5000	2	hp		150	200	mana		75	100	allskills		1	2	heal-kill		15	25																					mana-kill		7	7																																					0
Eternal Sleep	Seis' Memorial	amu	Amulet	2	60	80								5	5000	2	allskills		2	2	rip		1	1	hp%		10	10	mana%		10	10																					res-all		18	18					half-freeze		1	1																													0
Calming Peace	Seis' Memorial	uow	Aegis	7	60	83								5	5000	2	ac%		140	160	ac/lvl	16			ac		125	150	red-dmg%		25	35																					block		35	35					balance2		25	25					aura	109	4	4																					0
Silk Shroud	Seis' Memorial	uld	Kraken Shell	7	60	79								5	5000	2	ac%		100	130	balance3		25	25	res-fire		25	50	res-ltng		25	50																													hp		70	70																													0
Temple Guardian	Seis' Memorial	7fl	Scourge	7	60	77								5	5000	2	dmg%		220	250	dmg-min		75	75	att%		75	75	oskill	zeal	8	8																					swing2		25	25					heal-kill		18	18					mana-kill		3	3																					0
Sundered Heart	The Darkest Weaves	uth	Lacquered Plate	7	60	76	dred	dred						5	5000	2	ac%		170	200	sock		4	4																													balance3		50	50																																					0
Soulreaver	The Darkest Weaves	7cr	Phase Blade	7	60	77	dred	dred						5	5000	2	dmg%		220	300	sock		6	6																													dmg/lvl	8																																							0
Throws of Hatred	The Darkest Weaves	ush	Troll Nest	7	60	78	oran	oran						5	5000	2	ac%		170	210	block		30	50	sock		3	3																									block3		50	50																																					0
Blood Raven's Pain	Blood Raven's Despair	uh9	Bone Visage	7	60	73	dgld	dgld						5	5000	2	ac		160	220	hp		80	100	mana		75	100	dmg-to-mana		15	15																					all-stats		10	10																																					0
Blood Raven's Curse	Blood Raven's Despair	utu	Wire Fleece	7	60	77	lgry	lgry						5	5000	2	ac		675	900	balance3		25	25	str		20	30	lifesteal		9	9																					manasteal		6	6																																					0
Blood Raven's Redemption	Blood Raven's Despair	6lb	Shadow Bow	7	60	74	dblu	dblu						5	5000	2	dmg%		200	300	dmg-min		35	70	dmg-max		100	150	oskill	21	10	12																					oskill	27	10	10																																					0
Grimace of Death	Between Light and Darkness	xh9	Grim Helm	7	35	62								5	5000	2	light		-2	-2	str		10	10	dex		10	10	ac%		113	113																					swing1		15	15					gethit-skill	44	25	1																													0
Annulus of Obscurity	Between Light and Darkness	rin	Ring	3	40	51								5	5000	2	light		-1	-1	pal		1	1	oskill	sanctuary	12	15																									mana		45	45					red-mag		10	10					regen-mana		10	10																					0
Blessed Reflection	Between Light and Darkness	rin	Ring	3	40	51								5	5000	2	light		1	1	magicskill		1	1	oskill	decrepify	3	5																									hp		45	45					red-dmg		10	10																													0
